size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,KTH,20,,Random,66640.00,16857.00,9087.00,8980.00,3136.40,432.00
2000,KTH,20,,Random,122520.00,37737.00,20188.00,10600.00,4359.60,673.60
4000,KTH,20,,Random,274980.00,83437.00,44319.00,25300.00,8642.40,1631.60
8000,KTH,20,,Random,583440.00,182816.00,96530.00,38780.00,17655.00,2528.80
10000,KTH,20,,Random,755480.00,235462.00,124196.00,66360.00,19265.40,3120.40
