size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,KTH,21,,Duplicates,128600.00,15788.00,8247.00,8280.00,3000.00,287.00
2000,KTH,21,,Duplicates,203120.00,35077.00,18257.00,25080.00,8530.00,1477.00
4000,KTH,21,,Duplicates,344840.00,77443.00,40198.00,25680.00,13027.00,2414.00
8000,KTH,21,,Duplicates,523680.00,169287.00,87578.00,40440.00,23567.00,5028.00
10000,KTH,21,,Duplicates,672300.00,218070.00,112771.00,60460.00,31601.00,7252.00
