size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,PERCENTILE,,25.00,Random,88400.00,16857.00,9087.00,14700.00,3303.00,553.00
2000,PERCENTILE,,25.00,Random,174320.00,37737.00,20188.00,22580.00,5962.00,1049.20
4000,PERCENTILE,,25.00,Random,335620.00,83437.00,44319.00,44180.00,13298.00,2353.80
8000,PERCENTILE,,25.00,Random,799920.00,182816.00,96530.00,86340.00,28048.60,4375.00
10000,PERCENTILE,,25.00,Random,1071040.00,235462.00,124196.00,89320.00,34125.40,4893.00
