size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,KTH,1,,Reverse Sorted,111860.00,15965.00,8316.00,4720.00,1504.00,507.00
2000,KTH,1,,Reverse Sorted,268820.00,35964.00,18708.00,9880.00,3004.00,1007.00
4000,KTH,1,,Reverse Sorted,420980.00,80151.00,41436.00,13560.00,6004.00,2007.00
8000,KTH,1,,Reverse Sorted,647520.00,176057.00,90776.00,18100.00,12004.00,4007.00
10000,KTH,1,,Reverse Sorted,859900.00,226682.00,116696.00,19140.00,15004.00,5007.00
