size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,MEDIAN,,,Random,93500.00,16857.00,9087.00,16020.00,4366.00,652.00
2000,MEDIAN,,,Random,166260.00,37737.00,20188.00,24940.00,7413.00,1246.20
4000,MEDIAN,,,Random,360700.00,83437.00,44319.00,44140.00,13064.40,2323.60
8000,MEDIAN,,,Random,766380.00,182816.00,96530.00,91380.00,29605.40,4627.20
10000,MEDIAN,,,Random,1030180.00,235462.00,124196.00,144940.00,33432.80,5927.20
