size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,KTH,21,,Sorted,75740.00,17583.00,9708.00,10380.00,2016.00,20.00
2000,KTH,21,,Sorted,158880.00,39159.00,21300.00,4740.00,4017.00,22.00
4000,KTH,21,,Sorted,267560.00,86576.00,47142.00,13280.00,8018.00,24.00
8000,KTH,21,,Sorted,659680.00,189377.00,102638.00,15460.00,16019.00,26.00
10000,KTH,21,,Sorted,686000.00,244460.00,131956.00,15320.00,20017.00,26.00
