size,selectionMode,k,percentile,datasetName,avgSortTimeNanos,avgSortComparisons,avgSortSwaps,avgQuickTimeNanos,avgQuickComparisons,avgQuickSwaps
1000,MEDIAN,,,Sorted,88000.00,17583.00,9708.00,321920.00,376251.00,0.00
2000,MEDIAN,,,Sorted,132560.00,39159.00,21300.00,769500.00,1502501.00,0.00
4000,MEDIAN,,,Sorted,282460.00,86576.00,47142.00,3227800.00,6005001.00,0.00
8000,MEDIAN,,,Sorted,526020.00,189377.00,102638.00,11714140.00,24010001.00,0.00
10000,MEDIAN,,,Sorted,692720.00,244460.00,131956.00,20719380.00,37512501.00,0.00
